		Class     Images     Labels          P          R     mAP@.5 mAP@
                 all        292       1552      0.838       0.76      0.781      0.453
         ArrowButton        292         91      0.751      0.813      0.787       0.42
           AudioIcon        292         21      0.929       0.81      0.901      0.493
        CalendarIcon        292         22      0.926      0.955      0.986      0.683
          CameraIcon        292         24      0.954      0.862      0.903      0.573
           Checkmark        292         35      0.791      0.857      0.786      0.424
       ClickableText        292         44      0.842      0.545      0.618      0.373
             DotIcon        292         43      0.793      0.814      0.738      0.335
            DropDown        292         23      0.863      0.549      0.648      0.406
          ExitButton        292         38      0.661      0.605      0.628      0.292
FloatingActionButton        292         13      0.772          1      0.952      0.732
           HeartIcon        292         13      0.752      0.769      0.753      0.405
            HomeIcon        292         22      0.956      0.986      0.982      0.616
                Icon        292        472      0.751      0.773      0.792      0.465
            InfoIcon        292         58      0.832      0.684      0.739      0.425
               Input        292         76      0.896      0.368      0.454      0.297
            LikeIcon        292         12          1      0.391      0.477      0.176
             MapIcon        292          7      0.691      0.714      0.662      0.396
          MenuButton        292         37      0.908      0.804      0.903      0.441
         OnOffSwitch        292         53      0.994      0.906      0.953      0.598
       PageIndicator        292         50       0.93      0.266       0.47      0.234
         PictureIcon        292         11      0.815      0.909      0.889      0.591
      RoundCheckmark        292         51      0.954          1      0.995      0.555
          SearchIcon        292         38       0.94      0.828      0.914      0.456
        SettingsIcon        292         34      0.907      0.882      0.903      0.531
           ShareIcon        292         31      0.967      0.959       0.99      0.518
              Slider        292         33          1      0.785      0.907       0.52
          SocialIcon        292         50      0.753       0.73      0.698      0.418
            StarIcon        292         29      0.692      0.897      0.778      0.406
          TextButton        292        116      0.719      0.543      0.558      0.437
           TrashIcon        292          5      0.388        0.8      0.675      0.388
