		Class     Images     Labels          P          R     mAP@.5 mAP@
                 all        244       1281      0.765      0.699      0.717      0.413
         ArrowButton        244         78      0.657      0.795      0.764      0.406
           AudioIcon        244         19      0.664      0.416      0.465      0.301
        CalendarIcon        244         13       0.86      0.923      0.888      0.525
          CameraIcon        244         14          1      0.695      0.836      0.517
           Checkmark        244         34      0.748      0.912      0.905      0.516
       ClickableText        244         37      0.776      0.563      0.582      0.352
             DotIcon        244         38      0.776      0.711      0.719      0.355
            DropDown        244         20      0.757       0.35      0.533      0.357
          ExitButton        244         37      0.587      0.595      0.625      0.296
FloatingActionButton        244         13      0.664      0.923      0.925      0.735
           HeartIcon        244         10      0.737      0.842      0.891        0.4
            HomeIcon        244         14      0.713      0.857      0.836      0.501
                Icon        244        391      0.699      0.762      0.737      0.414
            InfoIcon        244         24      0.619      0.407      0.349      0.197
               Input        244         71      0.668      0.311      0.405      0.276
            LikeIcon        244         10       0.72      0.265      0.281      0.134
             MapIcon        244          7       0.56      0.714      0.561      0.341
          MenuButton        244         32      0.895      0.844      0.888      0.422
         OnOffSwitch        244         52      0.883      0.942      0.946       0.56
       PageIndicator        244         17      0.775      0.609      0.669      0.433
         PictureIcon        244         11      0.824      0.851      0.873      0.617
      RoundCheckmark        244         51      0.903          1      0.994      0.534
          SearchIcon        244         32      0.811      0.781      0.814      0.361
        SettingsIcon        244         28      0.812       0.75      0.772      0.415
           ShareIcon        244         30      0.965      0.867      0.897      0.522
              Slider        244         19      0.981      0.632      0.721      0.429
          SocialIcon        244         44      0.725       0.75      0.693      0.383
            StarIcon        244         28       0.72      0.857      0.796      0.424
          TextButton        244        102      0.743      0.529      0.544      0.412
           TrashIcon        244          5      0.722      0.532      0.595      0.258
