		Class     Images     Labels          P          R     mAP@.5 mAP@
                 all        977       5618      0.886      0.867      0.886      0.543
         ArrowButton        977        377      0.839      0.891      0.904       0.47
           AudioIcon        977         66      0.978      0.909      0.945      0.538
        CalendarIcon        977         82      0.928      0.988      0.993      0.651
          CameraIcon        977         45      0.856      0.889       0.87      0.568
           Checkmark        977        177      0.951      0.972      0.982      0.628
       ClickableText        977        121      0.856      0.688      0.765      0.441
             DotIcon        977        220      0.954      0.947      0.972      0.486
            DropDown        977         74      0.768      0.493      0.625      0.369
          ExitButton        977        168      0.777      0.869      0.848      0.484
FloatingActionButton        977         54       0.85      0.907      0.877      0.672
           HeartIcon        977         72      0.872      0.948      0.925       0.55
            HomeIcon        977         64      0.959      0.953      0.967      0.622
                Icon        977       1924      0.857      0.808      0.861      0.525
            InfoIcon        977         99      0.829       0.83      0.829      0.491
               Input        977        229      0.772      0.585      0.686      0.458
            LikeIcon        977         49      0.934      0.878      0.924      0.559
             MapIcon        977         41      0.938      0.951      0.931      0.626
          MenuButton        977        205      0.956      0.976      0.956      0.568
         OnOffSwitch        977         86      0.941      0.907      0.899      0.566
       PageIndicator        977         75      0.907       0.91      0.944      0.543
         PictureIcon        977         21      0.935      0.684      0.748      0.461
      RoundCheckmark        977        106      0.949      0.962      0.987      0.553
          SearchIcon        977        184      0.939      0.897      0.922      0.545
        SettingsIcon        977        103      0.927      0.874      0.924      0.536
           ShareIcon        977         84       0.93      0.929      0.929      0.559
              Slider        977         46      0.874      0.754       0.79      0.474
          SocialIcon        977        106      0.802      0.876      0.798      0.458
            StarIcon        977        150      0.899      0.887      0.925      0.562
          TextButton        977        550      0.805      0.864      0.874      0.735
           TrashIcon        977         40        0.8      0.975      0.983      0.592
